kind,old_code,new_code,status,source_name,target_name,source_unit,target_unit,match_score,reason
Material,2715112,3041041,规范化名称匹配,绝缘轨距杆 Φ36,绝缘轨距杆 φ36,根,根,98,
Material,2741112,3031441,规范化名称匹配,预应力混凝土枕 新Ⅱ型  研线0322,预应力混凝土枕 新Ⅱ型 研线0322,根,根,98,
Material,2750025,3042029,相似名称匹配,轨卡螺栓带帽 50kg 60kg,轨卡螺栓带帽 50、60kg,套,套,92,自动采用唯一高相似候选
Material,2741400,3032881,相似名称匹配,混凝土岔枕 50kg9号单开,混凝土岔枕 50kg 9号 单开道岔,组,组,100,自动采用唯一高相似候选
Material,2720220,3020391,规范化名称匹配,单开道岔 50kg 12号 (混凝土枕) 专线4257,单开道岔 50kg 12号 混凝土枕 专线4257,组,组,98,
Material,2741401,3033041,相似名称匹配,混凝土岔枕 50kg12号单开,混凝土岔枕 50kg 12号 单开道岔,组,组,100,自动采用唯一高相似候选
Material,2720225,3020781,规范化名称匹配,单开道岔 60kg 9号(混凝土枕) CZ577,单开道岔 60kg 9号 混凝土枕 CZ577,组,组,98,
Material,2741403,3033361,相似名称匹配,混凝土岔枕 60kg9号 单开,混凝土岔枕 60kg 9号 单开道岔,组,组,100,自动采用唯一高相似候选
Material,2720517,3022861,规范化名称匹配,单开道岔 60kg18号 有砟 GLC(07)03,单开道岔 60kg 18号 有砟 GLC(07)03,组,组,98,
Material,2741404,3033681,规范化名称匹配,混凝土岔枕 60kg18号单开道岔,混凝土岔枕 60kg 18号 单开道岔,组,组,98,
Material,2720526,3024681,规范化名称匹配,单开道岔 75kg12号 SC559,单开道岔 75kg 12号 SC559,组,组,98,
Material,2741406,3034161,相似名称匹配,混凝土岔枕 75kg12号单开,混凝土岔枕 75kg 12号 单开道岔,组,组,100,自动采用唯一高相似候选
Material,2720511,3021171,规范化名称匹配,单开道岔 60kg12号 有砟 GLC(08)01,单开道岔 60kg 12号 有砟 GLC(08)01,组,组,98,
Material,2741544,3038321,规范化名称匹配,混凝土岔枕 60kg12号,混凝土岔枕 60kg 12号,组,组,98,
Material,2720514,3022341,规范化名称匹配,单开道岔 60kg18号 有砟 客专线（07）004,单开道岔 60kg 18号 有砟 客专线（07）004,组,组,98,
Material,2741545,3038481,规范化名称匹配,混凝土岔枕 60kg18号 客专线（07）005,混凝土岔枕 60kg 18号 客专线（07）005,组,组,98,
Material,2715110,3040937,规范化名称匹配,绝缘轨距杆 Φ32,绝缘轨距杆 φ32,根,根,98,
Material,2720507,3022211,规范化名称匹配,单开道岔 60kg18号 混凝土岔枕 无砟 客专线（07）009,单开道岔 60kg 18号 混凝土岔枕 无砟 客专线（07）009,组,组,98,
Material,2720508,3024031,规范化名称匹配,单开道岔 60kg42号 混凝土岔枕 无砟 客专线（07）006,单开道岔 60kg 42号 混凝土岔枕 无砟 客专线（07）006,组,组,98,
Material,2741417,3034001,规范化名称匹配,混凝土岔枕 60kg42号单开道岔,混凝土岔枕 60kg 42号 单开道岔,组,组,98,
Material,2721014,3025331,规范化名称匹配,对称道岔 50kg 6号  混凝土枕 SC384,对称道岔 50kg 6号 混凝土枕 SC384,组,组,98,
Material,2741701,3038961,规范化名称匹配,混凝土岔枕 50kg6号对称道岔,混凝土岔枕 50kg 6号 对称道岔,组,组,98,
Material,2721015,3025461,规范化名称匹配,对称道岔 50kg 6.5号  混凝土枕 SC385,对称道岔 50kg 6.5号 混凝土枕 SC385,组,组,98,
Material,2741702,3039121,规范化名称匹配,混凝土岔枕 50kg6.5号对称道岔,混凝土岔枕 50kg 6.5号 对称道岔,组,组,98,
Material,2721016,3025591,规范化名称匹配,对称道岔 60kg 6号  混凝土枕 SC382,对称道岔 60kg 6号 混凝土枕 SC382,组,组,98,
Material,2741703,3039281,规范化名称匹配,混凝土岔枕 60kg6号对称道岔,混凝土岔枕 60kg 6号 对称道岔,组,组,98,
Material,2721017,3025721,规范化名称匹配,对称道岔 60kg 6.5号  混凝土枕 SC383,对称道岔 60kg 6.5号 混凝土枕 SC383,组,组,98,
Material,2741704,3039441,规范化名称匹配,混凝土岔枕 60kg6.5号对称道岔,混凝土岔枕 60kg 6.5号 对称道岔,组,组,98,
Material,2724012,3028841,规范化名称匹配,菱形交叉50kg4.5号,菱形交叉 50kg 4.5号,组,组,98,
Material,2724013,3029101,规范化名称匹配,菱形交叉50kg6号,菱形交叉 50kg 6号,组,组,98,
Material,2724015,3028971,规范化名称匹配,菱形交叉60kg4.5号,菱形交叉 60kg 4.5号,组,组,98,
Material,2724014,3029231,规范化名称匹配,菱形交叉60kg6号,菱形交叉 60kg 6号,组,组,98,
Material,2722022,3025851,规范化名称匹配,复式交分道岔 50kg 9号  混凝土枕 CZ2214,复式交分道岔 50kg 9号 混凝土枕 CZ2214,组,组,98,
Material,2741450,3034481,规范化名称匹配,混凝土岔枕 50kg9号复式交分道岔,混凝土岔枕 50kg 9号 复式交分道岔,组,组,98,
Material,2722023,3025981,规范化名称匹配,复式交分道岔 50kg 12号  混凝土枕 CZ2220,复式交分道岔 50kg 12号 混凝土枕 CZ2220,组,组,98,
Material,2741451,3034641,规范化名称匹配,混凝土岔枕 50kg12号复式交分道岔,混凝土岔枕 50kg 12号 复式交分道岔,组,组,98,
Material,2722024,3026111,规范化名称匹配,复式交分道岔 60kg 9号  混凝土枕 CZ2504,复式交分道岔 60kg 9号 混凝土枕 CZ2504,组,组,98,
Material,2741452,3034801,规范化名称匹配,混凝土岔枕 60kg9号复式交分道岔,混凝土岔枕 60kg 9号 复式交分道岔,组,组,98,
Material,2722026,3026371,规范化名称匹配,复式交分道岔 60kg 12号  混凝土枕 SC350,复式交分道岔 60kg 12号 混凝土枕 SC350,组,组,98,
Material,2741453,3034961,规范化名称匹配,混凝土岔枕 60kg12号复式交分道岔,混凝土岔枕 60kg 12号 复式交分道岔,组,组,98,
Material,2723054,3026501,相似名称匹配,交叉渡线 50kg 9号92改进型5.0m间距 CZ2210,交叉渡线 50kg 9号 92改进型 间距5.0m CZ2210,组,组,96,自动采用唯一高相似候选
Material,2723055,3026631,相似名称匹配,交叉渡线 50kg 9号92改进型5.3m间距 CZ2211,交叉渡线 50kg 9号 92改进型 间距5.3m CZ2211,组,组,96,自动采用唯一高相似候选
Material,2723059,3027151,规范化名称匹配,交叉渡线 50kg 12号 间距5.3m（混凝土岔枕）专线（02）7660,交叉渡线 50kg 12号 间距5.3m (混凝土岔枕) 专线（02）7660,组,组,98,
Material,2723056,3026761,相似名称匹配,交叉渡线 50kg 9号92改进型5.5m间距 CZ2212,交叉渡线 50kg 9号 92改进型 间距5.5m CZ2212,组,组,96,自动采用唯一高相似候选
Material,2723060,3027281,规范化名称匹配,交叉渡线 50kg 12号 间距5.5m（混凝土岔枕）专线（02）7661,交叉渡线 50kg 12号 间距5.5m (混凝土岔枕) 专线（02）7661,组,组,98,
Material,2723057,3026891,规范化名称匹配,交叉渡线 50kg 9号 间距6.5m（混凝土岔枕）CZ2213,交叉渡线 50kg 9号 间距6.5m (混凝土岔枕) CZ2213,组,组,98,
Material,2723061,3027411,规范化名称匹配,交叉渡线 50kg 12号 间距6.5m 混凝土岔枕）专线（02）7662,交叉渡线 50kg 12号 间距6.5m (混凝土岔枕) 专线（02）7662,组,组,98,
Material,2723062,3027541,规范化名称匹配,交叉渡线 60kg 9号 92 改进型间距5m （混凝土岔枕）CZ580,交叉渡线 60kg 9号 92改进型 间距5m (混凝土岔枕) CZ580,组,组,98,
Material,2741518,3036401,相似名称匹配,混凝土岔枕 交叉渡线 60-9-5m,混凝土岔枕 交叉渡线 60kg-9-5m,组,组,97,自动采用唯一高相似候选
Material,2723066,3028061,规范化名称匹配,交叉渡线 60kg 12号 间距5m （混凝土岔枕）SC340,交叉渡线 60kg 12号 间距5m (混凝土岔枕) SC340,组,组,98,
Material,2723063,3027671,规范化名称匹配,交叉渡线 60kg 9号 92 改进型间距5.3m （混凝土岔枕）CZ581,交叉渡线 60kg 9号 92改进型 间距5.3m (混凝土岔枕) CZ581,组,组,98,
Material,2741519,3036561,相似名称匹配,混凝土岔枕 交叉渡线 60-9-5.3m,混凝土岔枕 交叉渡线 60kg-9-5.3m,组,组,98,自动采用唯一高相似候选
Material,2723067,3028191,规范化名称匹配,交叉渡线 60kg 12号 间距5.3m （混凝土岔枕）SC341,交叉渡线 60kg 12号 间距5.3m (混凝土岔枕) SC341,组,组,98,
Material,2723064,3027801,规范化名称匹配,交叉渡线 60kg 9号 92 改进型间距5.5m （混凝土岔枕）CZ582,交叉渡线 60kg 9号 92改进型 间距5.5m (混凝土岔枕) CZ582,组,组,98,
Material,2741520,3036721,相似名称匹配,混凝土岔枕 交叉渡线 60-9-5.5m,混凝土岔枕 交叉渡线 60kg-9-5.5m,组,组,98,自动采用唯一高相似候选
Material,2723068,3028321,规范化名称匹配,交叉渡线 60kg 12号 间距5.5m （混凝土岔枕）SC342,交叉渡线 60kg 12号 间距5.5m (混凝土岔枕) SC342,组,组,98,
Material,2723065,3027931,规范化名称匹配,交叉渡线 60kg 9号 92 改进型间距6.5m （混凝土岔枕）CZ583,交叉渡线 60kg 9号 92改进型 间距6.5m (混凝土岔枕) CZ583,组,组,98,
Material,2741521,3036881,相似名称匹配,混凝土岔枕 交叉渡线 60-9-6.5m,混凝土岔枕 交叉渡线 60kg-9-6.5m,组,组,98,自动采用唯一高相似候选
Material,2723069,3028451,规范化名称匹配,交叉渡线 60kg 12号 间距6.5m （混凝土岔枕）SC343,交叉渡线 60kg 12号 间距6.5m (混凝土岔枕) SC343,组,组,98,
Material,2726206,3029751,规范化名称匹配,提速交叉渡线 60kg 12号 间距 6.5m (混凝土枕) AT 专线 7636～7638,提速交叉渡线 60kg 12号 间距6.5m (混凝土枕) AT 专线 7636～7638,组,组,98,
Material,1260050,3048477,规范化名称匹配,水泥沥青砂浆注入袋(5.0m×2.4m),水泥沥青砂浆注入袋 5.0m×2.4m,个,个,98,
Material,1900021,1010599,规范化名称匹配,环氧树脂涂层钢筋Φ＞10,环氧树脂涂层钢筋 φ＞10,kg,kg,98,
Material,2348118,1066501,规范化名称匹配,起吊螺母Q235,起吊螺母 Q235,个,个,98,
Material,2766565,3048737,相似名称匹配,热挤塑成型无粘结PC钢棒（含锚垫板和螺母）,热挤塑成型无粘结PC钢棒（含锚垫板）,kg,kg,100,自动采用唯一高相似候选
Material,1110532,3041301,相似名称匹配,CRTSⅡ型轨道板专用垫木（200×200）,CRTSⅡ型轨道板专用垫木 200×200×200,块,块,100,自动采用唯一高相似候选
Material,1910104,1010313,规范化名称匹配,带肋钢筋(HRB500) Φ＜18，≥28,带肋钢筋 HRB500 φ＜18，≥28,kg,kg,98,
Material,1910106,1010703,规范化名称匹配,精轧螺纹钢筋(BST500S)Φ＞18,精轧螺纹钢筋 BST500S φ＞18,kg,kg,98,
Material,2713253,1206616,相似名称匹配,硬质泡沫塑料板 10,硬质泡沫塑料板 δ=10,m2,m2,98,自动采用唯一高相似候选
Material,3360040,1221905,相似名称匹配,热收缩软管Φ25×1,热收缩软管 D25×1,m,m,93,自动采用唯一高相似候选
Material,1910109,1010729,规范化名称匹配,预应力螺旋肋钢筋Φ≥10,预应力螺旋肋钢筋 φ≥10,kg,kg,98,
Material,2766031,3043433,相似名称匹配,轨道板锚固板,轨道板锚固垫板,个,个,95,自动采用唯一高相似候选
Machine,9107615,9114213,相似名称匹配,Ⅰ型双块式轨枕混凝土浇筑生产线,双块式轨枕混凝土浇筑生产线,台班,台班,100,自动采用唯一高相似候选
Material,8751025,6035473,规范化名称匹配,镀锌螺栓带帽及防松装置（M16×260）,镀锌螺栓带帽及防松装置 M16×260,套,套,98,
Material,2713252,1206751,相似名称匹配,硬质泡沫塑料板 20,硬质泡沫塑料板 δ=20,m2,m2,98,自动采用唯一高相似候选
Material,2713256,3042913,规范化名称匹配,硫化橡胶垫板650×11×100,硫化橡胶垫板 650×11×100,个,个,98,
Machine,9100442,9100333,相似名称匹配,稳定土拌合站 ≤300t/h,稳定土拌和站 ≤300t/h,台班,台班,95,自动采用唯一高相似候选
Machine,9100505,9100405,相似名称匹配,轮胎式装载机 ≤3m3,轮胎式装载机 ≤3m³,台班,台班,96,自动采用唯一高相似候选
Material,2766576,3047957,规范化名称匹配,路基接地不锈钢连接线1m,路基接地不锈钢连接线 1m,条,条,98,
Material,2220023,1220393,规范化名称匹配,焊接钢管  DN32×3.25,焊接钢管 DN32×3.25,m,m,98,
Material,2715010,3040729,规范化名称匹配,普通轨距杆 Φ32,普通轨距杆 φ32,根,根,98,
Material,5200832,8045396,规范化名称匹配,Φ350圆柱底板 DP6,φ350圆柱底板 DP6,块,块,98,
Material,5200819,8045266,规范化名称匹配,Φ350圆柱卡盘 KP16,φ350圆柱卡盘 KP16,块,块,98,
Material,5200820,8045331,规范化名称匹配,Φ350圆柱卡盘 KP18,φ350圆柱卡盘 KP18,块,块,98,
Material,6177081,8066049,规范化名称匹配,拉线拉杆 Φ18×650,拉线拉杆 φ18×650,根,根,98,
Material,6177082,8066057,规范化名称匹配,拉线拉杆 Φ18×1050,拉线拉杆 φ18×1050,根,根,98,
Material,6177086,8066089,规范化名称匹配单位不同,锚板拉杆 Φ25×3640,锚板拉杆 φ25×3640,套,根,98,
Material,6177083,8066065,规范化名称匹配单位不同,Ｕ形拉环 Φ30×670,Ｕ形拉环 φ30×670,套,根,98,
Material,6177084,8066073,规范化名称匹配,拉线拉杆 Φ22×750,拉线拉杆 φ22×750,根,根,98,
Material,6177085,8066081,规范化名称匹配,拉线拉杆 Φ22×1150,拉线拉杆 φ22×1150,根,根,98,
Material,6177087,8066097,规范化名称匹配单位不同,拉线棒 Φ28×3640,拉线棒 φ28×3640,套,件,98,
Material,5200817,8045136,规范化名称匹配,Φ350圆柱卡盘 KP12,φ350圆柱卡盘 KP12,块,块,98,
Material,3603011,1060751,相似名称匹配,化学锚栓 M30×910,化学锚栓带帽 M30×910,套,套,95,自动采用唯一高相似候选
Material,5911001,8065113,相似名称匹配单位不同,接触线电联接线夹 JX、JT,接触线电连接线夹 JX、JT,套,件,92,自动采用唯一高相似候选
Material,5905034,8065049,相似名称匹配单位不同,双耳楔型接触线终端锚固线夹 150,双耳楔形接触线终端锚固线夹 150,套,件,94,自动采用唯一高相似候选
Material,5905043,8065065,相似名称匹配单位不同,双耳楔型承力索终端锚固线夹 120～150,双耳楔形承力索终端锚固线夹 120～150,套,件,95,自动采用唯一高相似候选
Material,5905031,8065041,相似名称匹配单位不同,双耳楔型接触线终端锚固线夹 85～120,双耳楔形接触线终端锚固线夹 85～120,套,件,95,自动采用唯一高相似候选
Material,5905041,8065057,相似名称匹配单位不同,双耳楔型承力索终端锚固线夹 70～95,双耳楔形承力索终端锚固线夹 70～95,套,件,94,自动采用唯一高相似候选
Material,3603021,1060551,相似名称匹配,化学锚栓 M20×250,化学锚栓带帽 M20×250,套,套,95,自动采用唯一高相似候选
Material,3603015,1061001,相似名称匹配,不锈钢化学锚栓 M20×250,不锈钢化学锚栓带帽 M20×250,套,套,96,自动采用唯一高相似候选
Material,2150006,1011639,规范化名称匹配,不锈钢软态钢丝 Φ3.5,不锈钢软态钢丝 φ3.5,kg,kg,98,
Material,4311012,7027201,规范化名称匹配,铜钳压管JY-T70 mm2,铜钳压管 JY-T70mm2,根,根,98,
Material,5100246,8065665,规范化名称匹配单位不同,锚板拉杆 Φ25×4050 双环 电化1600-09,锚板拉杆 φ25×4050 双环 电化1600-09,套,个,98,
Material,5912032,8064713,规范化名称匹配单位不同,双环杆 Φ16-770,双环杆 φ16-770,套,件,98,
Material,5917039,8061985,规范化名称匹配单位不同,杵环杆 Φ20-1530,杵环杆 φ20-1530,套,件,98,
Material,5917032,8061937,规范化名称匹配单位不同,杵环杆 Φ16-1130,杵环杆 φ16-1130,套,件,98,
Material,5912030,8064697,规范化名称匹配单位不同,双环杆 Φ16-250,双环杆 φ16-250,套,件,98,
Material,5917036,8061969,规范化名称匹配单位不同,杵环杆 Φ16-2930,杵环杆 φ16-2930,套,件,98,
Material,5917035,8061961,规范化名称匹配单位不同,杵环杆 Φ16-2530,杵环杆 φ16-2530,套,件,98,
Material,5917033,8061945,规范化名称匹配单位不同,杵环杆 Φ16-1530,杵环杆 φ16-1530,套,件,98,
Material,5917031,8061929,规范化名称匹配单位不同,杵环杆 Φ16-175,杵环杆 φ16-175,套,件,98,
Material,5917034,8061953,规范化名称匹配单位不同,杵环杆 Φ16-2030,杵环杆 φ16-2030,套,件,98,
Material,2220030,1220417,规范化名称匹配,焊接钢管  DN65×3.75,焊接钢管 DN65×3.75,m,m,98,
Material,5500121,8061065,相似名称匹配,单肩槽钢肩架 #6.3×2686 600S GDL1,单肩槽钢肩架 6.3×2686 600S GDL1,件,件,100,自动采用唯一高相似候选
Material,5500129,8061073,相似名称匹配,双肩槽钢肩架 #6.3×4505 550S GDL2,双肩槽钢肩架 6.3×4505 550S GDL2,件,件,100,自动采用唯一高相似候选
Material,5500391,8061041,规范化名称匹配,单肩角钢肩架  Y或Z 250B GDL18,单肩角钢肩架 Y或Z 250B GDL18,件,件,98,
Material,5500392,8061049,规范化名称匹配,单肩角钢肩架  Y或Z 500B GDL18,单肩角钢肩架 Y或Z 500B GDL18,件,件,98,
Material,8751084,6039469,规范化名称匹配,固定卡具   各型,固定卡具 各型,个,个,98,
Material,8800071,1060201,相似名称匹配,化学锚栓含帽（M12×100）,化学锚栓带帽 M12×100,套,套,95,自动采用唯一高相似候选
Material,3352014,1225009,规范化名称匹配,聚氯乙烯硬管 重型 D100～110×5.5,聚氯乙烯硬管 重型 D（100～110）×5.5,m,m,98,
Material,3603024,1060301,相似名称匹配,化学锚栓 M14×150,化学锚栓带帽 M14×150,套,套,95,自动采用唯一高相似候选
Material,8800066,1067001,规范化名称匹配单位不同,防松螺母M12,防松螺母 M12,套,个,98,
Material,5912034,8064729,规范化名称匹配单位不同,双环杆 Φ16-1500,双环杆 φ16-1500,套,件,98,
Material,5427831,8068569,相似名称匹配单位不同,“机车合”、“动车合”标志牌 夜间反光,“机车合”“动车合”标志牌 夜间反光,套,件,97,自动采用唯一高相似候选
Material,6177481,8074761,规范化名称匹配,隔离开关操作杆 Φ32,隔离开关操作杆 φ32,m,m,98,
Material,6155112,8060657,规范化名称匹配,拉线抱箍 Φ400,拉线抱箍 φ400,套,套,98,
Material,1810356,1201216,规范化名称匹配,石棉扭绳 Φ6～10,石棉扭绳 φ=6～10,kg,kg,98,
Material,3360024,1224025,规范化名称匹配,聚氯乙烯软管 d50×5,聚氯乙烯软管 D50×5,m,m,98,
Material,6111038,8070981,相似名称匹配,操动机构支架 槽钢#12.6×400,操动机构支架 槽钢12.6×400,根,根,100,自动采用唯一高相似候选
Material,6177003,8073781,相似名称匹配,连接槽钢 #10×45,连接槽钢 10×45,根,根,98,自动采用唯一高相似候选
Material,6144233,8073151,相似名称匹配,底座 槽钢#5×2130,底座 槽钢5×2130,根,根,98,自动采用唯一高相似候选
Material,6144236,8073256,相似名称匹配,底座 槽钢#8×220,底座 槽钢8×220,根,根,98,自动采用唯一高相似候选
Material,6144238,8073326,相似名称匹配,底座 槽钢#12.6×2200,底座 槽钢12.6×2200,根,根,99,自动采用唯一高相似候选
Material,6111039,8071016,相似名称匹配,操动机构支架 槽钢#12.6×410,操动机构支架 槽钢12.6×410,根,根,100,自动采用唯一高相似候选
Material,6177009,8073956,相似名称匹配,连接槽钢 #10×654,连接槽钢 10×654,根,根,98,自动采用唯一高相似候选
Material,6177047,8066025,规范化名称匹配,连杆 Φ40×1600,连杆 φ40×1600,根,根,98,
Material,6111040,8071051,相似名称匹配,操动机构支架 槽钢#12.6×1515,操动机构支架 槽钢12.6×1515,根,根,100,自动采用唯一高相似候选
Material,6177001,8073746,相似名称匹配,连接槽钢 #12.6×220,连接槽钢 12.6×220,根,根,99,自动采用唯一高相似候选
Material,6177042,8065985,规范化名称匹配,拉杆 Φ25×1200,拉杆 φ25×1200,根,根,98,
Material,6177048,8066033,规范化名称匹配,连杆 Φ40×1640,连杆 φ40×1640,根,根,98,
Material,6177010,8073991,相似名称匹配,连接槽钢 #10×716,连接槽钢 10×716,根,根,98,自动采用唯一高相似候选
Material,6177043,8065993,规范化名称匹配,拉杆 Φ25×1700,拉杆 φ25×1700,根,根,98,
Material,6111036,8070911,相似名称匹配,操动机构支架 槽钢#5×455,操动机构支架 槽钢5×455,根,根,99,自动采用唯一高相似候选
Material,6111053,8070491,规范化名称匹配单位不同,220kV 双极隔离开关支架,220kV双极隔离开关支架,套,台,98,
Material,6111052,8070456,规范化名称匹配单位不同,220kV 三极隔离开关支架,220kV三极隔离开关支架,套,台,98,
Material,6111057,8070561,规范化名称匹配,330kV 单极隔离开关支架,330kV单极隔离开关支架,台,台,98,
Material,6144235,8073221,相似名称匹配,底座 槽钢#6.3×450,底座 槽钢6.3×450,根,根,99,自动采用唯一高相似候选
Material,6144234,8073186,相似名称匹配,底座 槽钢#6.3×370,底座 槽钢6.3×370,根,根,99,自动采用唯一高相似候选
Material,6177251,8074201,规范化名称匹配,铰链套(Ⅰ) Φ12×30,铰链套(Ⅰ) φ12×30,个,个,98,
Material,6177391,8074726,规范化名称匹配,辅助开关连杆 Φ6×320,辅助开关连杆 φ6×320,根,根,98,
Material,6177441,8076651,规范化名称匹配,延长轴 Φ30×900,延长轴 φ30×900,根,根,98,
Material,6144241,6065783,相似名称匹配,抗雷圈底座 槽钢#10×140,抗雷圈底座 槽钢10×140,根,根,99,自动采用唯一高相似候选
Material,4812012,7045401,规范化名称匹配,直瓷管 Φ15×305,直瓷管 φ15×305,个,个,98,
Material,3378027,1227241,规范化名称匹配,PVC三通管 Φ180,PVC三通管 φ180,个,个,98,
Material,3378028,1227193,规范化名称匹配,PVC弯管 Φ180,PVC弯管 φ180,个,个,98,
Material,4732681,7012300,相似名称匹配,电力电缆 WDZ-YJY23 0.6/1kV  5×6mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 5×6mm2,m,m,100,自动采用唯一高相似候选
Material,4732682,7012319,相似名称匹配,电力电缆 WDZ-YJY23 0.6/1kV  5×10mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 5×10mm2,m,m,100,自动采用唯一高相似候选
Material,4732683,7012338,相似名称匹配,电力电缆 WDZ-YJY23 0.6/1kV  5×16mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 5×16mm2,m,m,100,自动采用唯一高相似候选
Material,4732684,7012357,相似名称匹配,电力电缆 WDZ-YJY23 0.6/1kV  5×25mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 5×25mm2,m,m,100,自动采用唯一高相似候选
Material,5200697,8043121,规范化名称匹配,环形等径预应力混凝土接触网支柱 Φ350 100/11+3,环形等径预应力混凝土接触网支柱 φ350 100/11+3,根,根,98,
Material,1412008,1133133,规范化名称匹配,钢筋混凝土等径电杆 Φ400×6000 下段,钢筋混凝土等径电杆 φ400×6000 下段,根,根,98,
Material,1412006,1132809,规范化名称匹配,钢筋混凝土等径电杆 Φ300×9000,钢筋混凝土等径电杆 φ300×9000,根,根,98,
Material,1410010,1131621,规范化名称匹配,预应力混凝土电杆 Φ190×13000,预应力混凝土电杆 φ190×13000,根,根,98,
Material,1820704,1201621,规范化名称匹配,橡胶石棉盘根 Φ6～10,橡胶石棉盘根 φ=6～10,kg,kg,98,
Material,2368126,1310701,相似名称匹配,人孔盖 常压 DN600,人孔盖 DN600,个,个,92,自动采用唯一高相似候选
Material,2220017,1220361,规范化名称匹配,焊接钢管  DN10×2.25,焊接钢管 DN10×2.25,m,m,98,
Material,2220032,1220425,规范化名称匹配,焊接钢管  DN80×4,焊接钢管 DN80×4,m,m,98,
Material,3360023,1224017,规范化名称匹配,聚氯乙烯软管 d32×3.5,聚氯乙烯软管 D32×3.5,m,m,98,
Material,2220019,1220377,规范化名称匹配,焊接钢管  DN20×2.75,焊接钢管 DN20×2.75,m,m,98,
Material,2220037,1220449,规范化名称匹配,焊接钢管  DN125×4.5,焊接钢管 DN125×4.5,m,m,98,
Material,2220021,1220385,规范化名称匹配,焊接钢管  DN25×3.25,焊接钢管 DN25×3.25,m,m,98,
Material,2220018,1220369,规范化名称匹配,焊接钢管  DN15×2.75,焊接钢管 DN15×2.75,m,m,98,
Material,8221040,6037165,相似名称匹配,室外箱盒端子配线名牌,室外箱盒端子配线铭牌,个,个,93,自动采用唯一高相似候选
Material,2240001,1220561,规范化名称匹配,镀锌焊接钢管  DN15×2.75,镀锌焊接钢管 DN15×2.75,m,m,98,
Machine,9109331,9120121,相似名称匹配,逻辑分析仪 100MHz.80通道,"逻辑分析仪 100MHz,80通道",台班,台班,100,自动采用唯一高相似候选
Material,4020112,1272913,规范化名称匹配,尼龙砂轮片 Φ100×16×3,尼龙砂轮片 φ100×16×3,片,片,98,
Material,3373505,1227393,规范化名称匹配,聚乙烯电熔套筒    de50,聚乙烯电熔套筒 De50,个,个,98,
Material,3373551,1227417,规范化名称匹配,聚乙烯电熔套筒 0.6MPa   de110,聚乙烯电熔套筒 0.6MPa De110,个,个,98,
Material,3373552,1227425,规范化名称匹配,聚乙烯电熔套筒 0.6MPa   de160,聚乙烯电熔套筒 0.6MPa De160,个,个,98,
Material,3373553,1227433,规范化名称匹配,聚乙烯电熔套筒 0.6MPa   de200,聚乙烯电熔套筒 0.6MPa De200,个,个,98,
Material,3373554,1227441,规范化名称匹配,聚乙烯电熔套筒 0.6MPa   de250,聚乙烯电熔套筒 0.6MPa De250,个,个,98,
Material,3373555,1227449,规范化名称匹配,聚乙烯电熔套筒 0.6MPa   de315,聚乙烯电熔套筒 0.6MPa De315,个,个,98,
Material,3373556,1227457,规范化名称匹配,聚乙烯电熔套筒 0.6MPa   de355,聚乙烯电熔套筒 0.6MPa De355,个,个,98,
Material,3373557,1227465,规范化名称匹配,聚乙烯电熔套筒 0.6MPa   de400,聚乙烯电熔套筒 0.6MPa De400,个,个,98,
Material,1710004,1214885,相似名称匹配,石油沥青油纸 350号,石油沥青油毡 350号,卷,卷,93,自动采用唯一高相似候选
Material,2220044,1220497,规范化名称匹配,焊接钢管  DN350×6.5,焊接钢管 DN350×6.5,m,m,98,
Material,2240009,1220593,规范化名称匹配,镀锌焊接钢管  DN40×3.5,镀锌焊接钢管 DN40×3.5,m,m,98,
Material,2348510,1065701,规范化名称匹配,镀锌可锻铸铁丝堵 DN15～25,镀锌可锻铸铁丝堵 DN=15～25,个,个,98,
Material,2348211,1065651,规范化名称匹配,可锻铸铁丝堵 DN25～32,可锻铸铁丝堵 DN=25～32,个,个,98,
Material,1820702,1201486,规范化名称匹配,油浸石棉盘根 Φ6～20,油浸石棉盘根 φ=6～20,kg,kg,98,
Material,3913010,4079301,规范化名称匹配,垫片 Φ16/8,垫片 φ16/8,个,个,98,
Material,3373105,1226337,规范化名称匹配,聚乙烯给水管件  de50,聚乙烯给水管件 De50,个,个,98,
Material,3373106,1226345,规范化名称匹配,聚乙烯给水管件  de63,聚乙烯给水管件 De63,个,个,98,
Material,3320220,1022553,相似名称匹配,钢筋混凝土管接口橡胶圈 配d300,钢筋混凝土管接口橡胶圈 D300,个,个,100,自动采用唯一高相似候选
Material,3320221,1022641,相似名称匹配,钢筋混凝土管接口橡胶圈 配d400,钢筋混凝土管接口橡胶圈 D400,个,个,100,自动采用唯一高相似候选
Material,3320222,1022729,相似名称匹配,钢筋混凝土管接口橡胶圈 配d500,钢筋混凝土管接口橡胶圈 D500,个,个,100,自动采用唯一高相似候选
Material,3320223,1022817,相似名称匹配,钢筋混凝土管接口橡胶圈 配d600,钢筋混凝土管接口橡胶圈 D600,个,个,100,自动采用唯一高相似候选
